target,source,flow
BE,EU28,23230
BG,EU28,371
CZ,EU28,1310
DK,EU28,10094
DE,EU28,11984
EE,EU28,3686
IE,EU28,1339
EL,EU28,1846
ES,EU28,7791
FR,EU28,8072
HR,EU28,242
IT,EU28,10544
CY,EU28,355
LV,EU28,2734
LT,EU28,6860
LU,EU28,36
HU,EU28,2077
MT,EU28,1106
NL,EU28,43152
AT,EU28,2114
PL,EU28,3799
PT,EU28,1661
RO,EU28,618
SI,EU28,711
SK,EU28,3344
FI,EU28,4370
SE,EU28,11498
UK,EU28,44033
IS,EU28,28
NO,EU28,68152
CH,EU28,2362
ME,EU28,5
MK,EU28,0
RS,EU28,70
TR,EU28,1944
BY,EU28,2448
BA,EU28,96
MD,EU28,3
RU,EU28,223981
UA,EU28,2819
EX_SU_OTH,EU28,81
EUR_OTH,EU28,1334
AO,EU28,10971
CM,EU28,1718
CG,EU28,3245
CD,EU28,12
GQ,EU28,6114
GA,EU28,1314
DZ,EU28,23264
EG,EU28,5628
LY,EU28,45900
TN,EU28,3496
NG,EU28,43519
AFR_OTH,EU28,6056
CA,EU28,2199
US,EU28,20339
BS,EU28,78
AN,EU28,534
TT,EU28,639
MX,EU28,9202
AR,EU28,700
BR,EU28,5708
CL,EU28,77
CO,EU28,4664
EC,EU28,319
PE,EU28,101
VE,EU28,7992
AME_OTH,EU28,402
KZ,EU28,28951
KG,EU28,0
TJ,EU28,0
TM,EU28,595
UZ,EU28,19
CN_X_HK,EU28,204
HK,EU28,0
JP,EU28,135
KR,EU28,1420
IN,EU28,4164
IR,EU28,6666
BN,EU28,0
ID,EU28,411
MY,EU28,123
SG,EU28,1098
TH,EU28,35
VN,EU28,1
AM,EU28,1
AZ,EU28,20251
BH,EU28,1050
GE,EU28,890
IQ,EU28,21541
IL,EU28,1216
KW,EU28,8064
OM,EU28,333
QA,EU28,989
SA,EU28,49335
SY,EU28,0
AE,EU28,3428
YE,EU28,31
ASI_NME,EU28,422
ASI_OTH,EU28,162
AU,EU28,5
NZ,EU28,0
PG,EU28,110
TOTAL,EU28,897629
NSP,EU28,29499
BE,EU15,23093
BG,EU15,231
CZ,EU15,708
DK,EU15,10003
DE,EU15,9845
EE,EU15,3627
IE,EU15,1339
EL,EU15,795
ES,EU15,7483
FR,EU15,7491
HR,EU15,119
IT,EU15,7221
CY,EU15,287
LV,EU15,2487
LT,EU15,4990
LU,EU15,18
HU,EU15,702
MT,EU15,1100
NL,EU15,42490
AT,EU15,412
PL,EU15,2774
PT,EU15,1661
RO,EU15,48
SI,EU15,385
SK,EU15,1296
FI,EU15,3651
SE,EU15,11227
UK,EU15,43336
IS,EU15,28
NO,EU15,67256
CH,EU15,761
ME,EU15,5
MK,EU15,0
RS,EU15,16
TR,EU15,1452
BY,EU15,681
BA,EU15,2
MD,EU15,0
RU,EU15,163170
UA,EU15,2738
EX_SU_OTH,EU15,81
EUR_OTH,EU15,1287
AO,EU15,10971
CM,EU15,1718
CG,EU15,3245
CD,EU15,12
GQ,EU15,6114
GA,EU15,1314
DZ,EU15,23019
EG,EU15,5510
